,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
NP.agent.OR..animate.machine..V.NP.theme.about.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.about.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.about.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.about.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.above.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.above.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.above.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.above.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.against.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.against.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.against.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.against.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.along.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.along.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.along.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.along.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.alongside.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.alongside.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.alongside.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.alongside.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.amid.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.amid.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.amid.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.amid.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.among.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.among.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.among.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.among.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.amongst.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.amongst.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.amongst.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.amongst.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.around.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.around.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.around.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.around.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.astride.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.astride.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.astride.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.astride.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.at.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.at.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.at.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.at.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.athwart.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.athwart.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.athwart.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.athwart.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.before.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.before.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.before.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.before.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.behind.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.behind.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.behind.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.behind.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.below.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.below.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.below.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.below.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.beneath.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.beneath.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.beneath.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.beneath.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.beside.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.beside.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.beside.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.beside.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.between.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.between.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.between.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.between.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.beyond.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.beyond.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.beyond.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.beyond.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.by.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.by.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.by.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.by.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.in.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.in.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.in.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.in.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.in_front_of.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.in_front_of.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.in_front_of.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.in_front_of.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.inside.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.inside.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.inside.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.inside.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.into.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.into.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.into.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.into.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.near.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.near.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.near.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.near.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.next_to.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.next_to.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.next_to.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.next_to.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.off.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.off.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.off.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.off.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.on.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.on.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.on.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.on.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.onto.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.onto.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.onto.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.onto.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.opposite.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.opposite.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.opposite.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.opposite.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.out_of.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.out_of.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.out_of.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.out_of.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.outside.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.outside.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.outside.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.outside.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.over.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.over.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.over.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.over.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.round.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.round.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.round.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.round.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.throughout.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.throughout.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.throughout.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.throughout.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.under.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.under.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.under.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.under.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.underneath.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.underneath.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.underneath.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.underneath.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.upon.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.upon.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.upon.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.upon.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.within.NP.destination.concrete,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.within.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.within.NP.destination,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.within.NP.concrete,NP.agent.OR..animate.machine..V.NP.theme.PP.destination.concrete
NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.from.NP.initial_location.location,NP.V.NP.PP.initial_location,NP.V.NP.PP,NP.V.NP.from.NP,NP.agent.V.NP.theme.PP.initial_location,NP.agent.V.NP.theme.from.NP.initial_location,NP.OR..animate.machine..V.NP.concrete.animate.PP.location,NP.OR..animate.machine..V.NP.concrete.animate.from.NP.location,NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.PP.initial_location.location
NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.into.NP.destination,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.into.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.into.NP.destination,NP.OR..animate.machine..V.NP.concrete.animate.PP,NP.OR..animate.machine..V.NP.concrete.animate.into.NP,NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.PP.destination
NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.off.NP.initial_location.location,NP.V.NP.PP.initial_location,NP.V.NP.PP,NP.V.NP.off.NP,NP.agent.V.NP.theme.PP.initial_location,NP.agent.V.NP.theme.off.NP.initial_location,NP.OR..animate.machine..V.NP.concrete.animate.PP.location,NP.OR..animate.machine..V.NP.concrete.animate.off.NP.location,NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.PP.initial_location.location
NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.off_of.NP.initial_location.location,NP.V.NP.PP.initial_location,NP.V.NP.PP,NP.V.NP.off_of.NP,NP.agent.V.NP.theme.PP.initial_location,NP.agent.V.NP.theme.off_of.NP.initial_location,NP.OR..animate.machine..V.NP.concrete.animate.PP.location,NP.OR..animate.machine..V.NP.concrete.animate.off_of.NP.location,NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.PP.initial_location.location
NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.onto.NP.destination,NP.V.NP.PP.destination,NP.V.NP.PP,NP.V.NP.onto.NP,NP.agent.V.NP.theme.PP.destination,NP.agent.V.NP.theme.onto.NP.destination,NP.OR..animate.machine..V.NP.concrete.animate.PP,NP.OR..animate.machine..V.NP.concrete.animate.onto.NP,NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.PP.destination
NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.out.NP.initial_location.location,NP.V.NP.PP.initial_location,NP.V.NP.PP,NP.V.NP.out.NP,NP.agent.V.NP.theme.PP.initial_location,NP.agent.V.NP.theme.out.NP.initial_location,NP.OR..animate.machine..V.NP.concrete.animate.PP.location,NP.OR..animate.machine..V.NP.concrete.animate.out.NP.location,NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.PP.initial_location.location
NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.out_of.NP.initial_location.location,NP.V.NP.PP.initial_location,NP.V.NP.PP,NP.V.NP.out_of.NP,NP.agent.V.NP.theme.PP.initial_location,NP.agent.V.NP.theme.out_of.NP.initial_location,NP.OR..animate.machine..V.NP.concrete.animate.PP.location,NP.OR..animate.machine..V.NP.concrete.animate.out_of.NP.location,NP.agent.OR..animate.machine..V.NP.theme.concrete.animate.PP.initial_location.location
NP.agent.OR..animate.machine..V.at.NP.patient.concrete,NP.V.PP,NP.V.PP,NP.V.at.NP,NP.agent.V.PP.patient,NP.agent.V.at.NP.patient,NP.OR..animate.machine..V.PP.concrete,NP.OR..animate.machine..V.at.NP.concrete,NP.agent.OR..animate.machine..V.PP.patient.concrete
NP.agent.OR..animate.machine..V.at.NP.patient.concrete.with.NP.instrument.pointy,NP.V.PP.PP,NP.V.PP.PP,NP.V.at.NP.with.NP,NP.agent.V.PP.patient.PP.instrument,NP.agent.V.at.NP.patient.with.NP.instrument,NP.OR..animate.machine..V.PP.concrete.PP.pointy,NP.OR..animate.machine..V.at.NP.concrete.with.NP.pointy,NP.agent.OR..animate.machine..V.PP.patient.concrete.PP.instrument.pointy
NP.agent.OR..animate.machine..V.from.NP.material.to.NP.result,NP.V.PP.material.PP.result,NP.V.PP.PP,NP.V.from.NP.to.NP,NP.agent.V.PP.material.PP.result,NP.agent.V.from.NP.material.to.NP.result,NP.OR..animate.machine..V.PP.PP,NP.OR..animate.machine..V.from.NP.to.NP,NP.agent.OR..animate.machine..V.PP.material.PP.result
NP.agent.OR..animate.machine..V.to.NP.result,NP.V.PP.result,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.result,NP.agent.V.to.NP.result,NP.OR..animate.machine..V.PP,NP.OR..animate.machine..V.to.NP,NP.agent.OR..animate.machine..V.PP.result
NP.agent.OR..animate.machine..V.to.NP.result.from.NP.material,NP.V.PP.result.PP.material,NP.V.PP.PP,NP.V.to.NP.from.NP,NP.agent.V.PP.result.PP.material,NP.agent.V.to.NP.result.from.NP.material,NP.OR..animate.machine..V.PP.PP,NP.OR..animate.machine..V.to.NP.from.NP,NP.agent.OR..animate.machine..V.PP.result.PP.material
NP.agent.OR..animate.organization..V,NP.V,NP.V,NP.V,NP.agent.V,NP.agent.V,NP.OR..animate.organization..V,NP.OR..animate.organization..V,NP.agent.OR..animate.organization..V
NP.agent.OR..animate.organization..V.NP.Dative.destination.OR..animate.location.region..animate.location.region.NP.theme.concrete,NP.V.NP.Dative.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.destination.NP.theme,NP.agent.V.NP.destination.NP.theme,NP.OR..animate.organization..V.NP.Dative.OR..animate.location.region..animate.location.region.NP.concrete,NP.OR..animate.organization..V.NP.Dative.OR..animate.location.region..animate.location.region.NP.concrete,NP.agent.OR..animate.organization..V.NP.Dative.destination.OR..animate.location.region..animate.location.region.NP.theme.concrete
NP.agent.OR..animate.organization..V.NP.Dative.goal.NP.theme,NP.V.NP.Dative.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.goal.NP.theme,NP.agent.V.NP.goal.NP.theme,NP.OR..animate.organization..V.NP.Dative.NP,NP.OR..animate.organization..V.NP.Dative.NP,NP.agent.OR..animate.organization..V.NP.Dative.goal.NP.theme
NP.agent.OR..animate.organization..V.NP.Dative.recipient.OR..animate.organization..NP.theme,NP.V.NP.Dative.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.recipient.NP.theme,NP.agent.V.NP.recipient.NP.theme,NP.OR..animate.organization..V.NP.Dative.OR..animate.organization..NP,NP.OR..animate.organization..V.NP.Dative.OR..animate.organization..NP,NP.agent.OR..animate.organization..V.NP.Dative.recipient.OR..animate.organization..NP.theme
NP.agent.OR..animate.organization..V.NP.Dative.recipient.OR..animate.organization..NP.topic,NP.V.NP.Dative.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.recipient.NP.topic,NP.agent.V.NP.recipient.NP.topic,NP.OR..animate.organization..V.NP.Dative.OR..animate.organization..NP,NP.OR..animate.organization..V.NP.Dative.OR..animate.organization..NP,NP.agent.OR..animate.organization..V.NP.Dative.recipient.OR..animate.organization..NP.topic
NP.agent.OR..animate.organization..V.NP.Dative.recipient.OR..animate.organization..NP.topic.communication,NP.V.NP.Dative.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.recipient.NP.topic,NP.agent.V.NP.recipient.NP.topic,NP.OR..animate.organization..V.NP.Dative.OR..animate.organization..NP.communication,NP.OR..animate.organization..V.NP.Dative.OR..animate.organization..NP.communication,NP.agent.OR..animate.organization..V.NP.Dative.recipient.OR..animate.organization..NP.topic.communication
NP.agent.OR..animate.organization..V.NP.Fulfilling.recipient.OR..animate.organization..with.NP.theme,NP.V.NP.Fulfilling.PP,NP.V.NP.PP,NP.V.NP.with.NP,NP.agent.V.NP.recipient.PP.theme,NP.agent.V.NP.recipient.with.NP.theme,NP.OR..animate.organization..V.NP.Fulfilling.OR..animate.organization..PP,NP.OR..animate.organization..V.NP.Fulfilling.OR..animate.organization..with.NP,NP.agent.OR..animate.organization..V.NP.Fulfilling.recipient.OR..animate.organization..PP.theme
NP.agent.OR..animate.organization..V.NP.asset,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.asset,NP.agent.V.NP.asset,NP.OR..animate.organization..V.NP,NP.OR..animate.organization..V.NP,NP.agent.OR..animate.organization..V.NP.asset
NP.agent.OR..animate.organization..V.NP.asset.S_ING.goal,NP.V.NP.S_ING,NP.V.NP.S,NP.V.NP.S,NP.agent.V.NP.asset.S.goal,NP.agent.V.NP.asset.S.goal,NP.OR..animate.organization..V.NP.S,NP.OR..animate.organization..V.NP.S_ING,NP.agent.OR..animate.organization..V.NP.asset.S_ING.goal
NP.agent.OR..animate.organization..V.NP.asset.on.NP.goal,NP.V.NP.PP.goal,NP.V.NP.PP,NP.V.NP.on.NP,NP.agent.V.NP.asset.PP.goal,NP.agent.V.NP.asset.on.NP.goal,NP.OR..animate.organization..V.NP.PP,NP.OR..animate.organization..V.NP.on.NP,NP.agent.OR..animate.organization..V.NP.asset.PP.goal
NP.agent.OR..animate.organization..V.NP.asset.on.S_ING.goal,NP.V.NP.S_ING,NP.V.NP.S,NP.V.NP.on.S,NP.agent.V.NP.asset.S.goal,NP.agent.V.NP.asset.on.S.goal,NP.OR..animate.organization..V.NP.S,NP.OR..animate.organization..V.NP.on.S_ING,NP.agent.OR..animate.organization..V.NP.asset.S_ING.goal
NP.agent.OR..animate.organization..V.NP.beneficiary.OR..animate.organization.,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.beneficiary,NP.agent.V.NP.beneficiary,NP.OR..animate.organization..V.NP.OR..animate.organization.,NP.OR..animate.organization..V.NP.OR..animate.organization.,NP.agent.OR..animate.organization..V.NP.beneficiary.OR..animate.organization.
NP.agent.OR..animate.organization..V.NP.beneficiary.OR..animate.organization..NP.theme,NP.V.NP.beneficiary.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.beneficiary.NP.theme,NP.agent.V.NP.beneficiary.NP.theme,NP.OR..animate.organization..V.NP.OR..animate.organization..NP,NP.OR..animate.organization..V.NP.OR..animate.organization..NP,NP.agent.OR..animate.organization..V.NP.beneficiary.OR..animate.organization..NP.theme
NP.agent.OR..animate.organization..V.NP.beneficiary.OR..animate.organization..S_INF.theme,NP.V.NP.S_INF,NP.V.NP.S,NP.V.NP.S,NP.agent.V.NP.beneficiary.S.theme,NP.agent.V.NP.beneficiary.S.theme,NP.OR..animate.organization..V.NP.OR..animate.organization..S,NP.OR..animate.organization..V.NP.OR..animate.organization..S_INF,NP.agent.OR..animate.organization..V.NP.beneficiary.OR..animate.organization..S_INF.theme
